t,x,y,z
0.000000,0.996385,0.486869,0.261960
0.100000,1.003055,0.463876,0.230293
0.200000,1.024126,0.386730,0.147255
0.300000,1.059250,0.240820,0.051732
0.400000,1.101863,0.034999,0.001018
0.500000,1.145622,-0.181225,0.026636
0.600000,1.193136,-0.356268,0.103083
0.700000,1.249756,-0.473151,0.180732
0.800000,1.317352,-0.536647,0.224691
0.900000,1.395944,-0.551559,0.222160
1.000000,1.485506,-0.516106,0.177772
1.100000,1.585280,-0.425905,0.109591
1.200000,1.692556,-0.282541,0.043898
1.300000,1.803323,-0.100278,0.005113
1.400000,1.914731,0.096052,0.004417
1.500000,2.026599,0.281058,0.036087
1.600000,2.140554,0.437201,0.083837
1.700000,2.258416,0.555962,0.130073
1.800000,2.381387,0.634495,0.161783
1.900000,2.510010,0.672204,0.172364
2.000000,2.644321,0.669083,0.161262
2.100000,2.783916,0.625661,0.132759
2.200000,2.927956,0.543819,0.094399
2.300000,3.075255,0.427740,0.055086
2.400000,3.224506,0.284347,0.023055
2.500000,3.374601,0.122894,0.004099
2.600000,3.524880,-0.046183,0.000554
2.700000,3.675213,-0.212683,0.011287
2.800000,3.825902,-0.367792,0.032538
2.900000,3.977483,-0.504661,0.059169
3.000000,4.130546,-0.618440,0.085894
3.100000,4.285595,-0.705983,0.108196
3.200000,4.442986,-0.765448,0.122878
3.300000,4.602907,-0.795979,0.128277
3.400000,4.765375,-0.797499,0.124231
3.500000,4.930250,-0.770646,0.111880
3.600000,5.097265,-0.716783,0.093349
3.700000,5.266050,-0.638038,0.071374
3.800000,5.436181,-0.537324,0.048891
3.900000,5.607229,-0.418286,0.028652
4.000000,5.778813,-0.285173,0.012898
4.100000,5.950640,-0.142637,0.003130
4.200000,6.122532,0.004509,0.000003
4.300000,6.294434,0.151540,0.003340
4.400000,6.466397,0.294037,0.012252
4.500000,6.638559,0.428048,0.025323
4.600000,6.811108,0.550184,0.040833
4.700000,6.984253,0.657659,0.056977
4.800000,7.158196,0.748282,0.072058
4.900000,7.333109,0.820423,0.084636
5.000000,7.509126,0.872961,0.093633
5.100000,7.686326,0.905245,0.098386
5.200000,7.864741,0.917049,0.098662
5.300000,8.044346,0.908544,0.094630
5.400000,8.225075,0.880276,0.086814
5.500000,8.406819,0.833150,0.076012
5.600000,8.589441,0.768414,0.063215
5.700000,8.772784,0.687634,0.049510
5.800000,8.956686,0.592670,0.035986
5.900000,9.140991,0.485633,0.023653
6.000000,9.325557,0.368835,0.013364
6.100000,9.510272,0.244731,0.005766
6.200000,9.695050,0.115857,0.001267
6.300000,9.879845,-0.015239,0.000022
6.400000,10.064643,-0.146059,0.001940
6.500000,10.249462,-0.274208,0.006717
6.600000,10.434349,-0.397449,0.013868
6.700000,10.619370,-0.513733,0.022778
6.800000,10.804605,-0.621231,0.032755
6.900000,10.990140,-0.718347,0.043082
7.000000,11.176059,-0.803729,0.053063
7.100000,11.362441,-0.876269,0.062068
7.200000,11.549353,-0.935098,0.069563
7.300000,11.736847,-0.979582,0.075137
7.400000,11.924959,-1.009312,0.078518
7.500000,12.113705,-1.024097,0.079575
7.600000,12.303085,-1.023951,0.078318
7.700000,12.493078,-1.009087,0.074886
7.800000,12.683651,-0.979909,0.069534
7.900000,12.874757,-0.936999,0.062609
8.000000,13.066336,-0.881106,0.054526
8.100000,13.258323,-0.813138,0.045745
8.200000,13.450650,-0.734144,0.036738
8.300000,13.643247,-0.645298,0.027971
8.400000,13.836047,-0.547886,0.019875
8.500000,14.028990,-0.443279,0.012827
8.600000,14.222025,-0.332916,0.007135
8.700000,14.415112,-0.218280,0.003026
8.800000,14.608220,-0.100877,0.000638
8.900000,14.801334,0.017791,0.000020
9.000000,14.994449,0.136243,0.001133
9.100000,15.187572,0.253042,0.003859
9.200000,15.380722,0.366810,0.008009
9.300000,15.573923,0.476249,0.013337
9.400000,15.767210,0.580150,0.019553
9.500000,15.960620,0.677403,0.026342
9.600000,16.154192,0.767008,0.033376
9.700000,16.347967,0.848082,0.040331
9.800000,16.541984,0.919858,0.046901
9.900000,16.736278,0.981690,0.052809
10.000000,16.930879,1.033054,0.057817
10.100000,17.125812,1.073545,0.061735
10.200000,17.321096,1.102880,0.064425
10.300000,17.516740,1.120889,0.065805
10.400000,17.712749,1.127519,0.065847
10.500000,17.909120,1.122827,0.064580
10.600000,18.105840,1.106974,0.062080
10.700000,18.302894,1.080228,0.058471
10.800000,18.500260,1.042950,0.053914
10.900000,18.697909,0.995597,0.048600
11.000000,18.895813,0.938711,0.042743
11.100000,19.093939,0.872912,0.036569
11.200000,19.292253,0.798897,0.030309
11.300000,19.490722,0.717425,0.024188
11.400000,19.689313,0.629312,0.018420
11.500000,19.887997,0.535424,0.013199
11.600000,20.086747,0.436665,0.008690
11.700000,20.285540,0.333968,0.005033
11.800000,20.484358,0.228285,0.002329
11.900000,20.683188,0.120580,0.000643
12.000000,20.882022,0.011816,0.000006
12.100000,21.080855,-0.097052,0.000409
12.200000,21.279692,-0.205087,0.001809
12.300000,21.478536,-0.311378,0.004132
12.400000,21.677401,-0.415046,0.007275
12.500000,21.876298,-0.515254,0.011111
12.600000,22.075246,-0.611211,0.015496
12.700000,22.274263,-0.702176,0.020271
