t,x,y,z
12.800000,22.473370,-0.787465,0.025272
12.900000,22.672588,-0.866455,0.030332
13.000000,22.871936,-0.938584,0.035287
13.100000,23.071436,-1.003354,0.039981
13.200000,23.271105,-1.060335,0.044273
13.300000,23.470961,-1.109164,0.048036
13.400000,23.671015,-1.149545,0.051165
13.500000,23.871281,-1.181252,0.053576
13.600000,24.071766,-1.204123,0.055209
13.700000,24.272474,-1.218066,0.056028
13.800000,24.473407,-1.223051,0.056024
13.900000,24.674563,-1.219117,0.055208
14.000000,24.875937,-1.206359,0.053618
14.100000,25.077521,-1.184939,0.051312
14.200000,25.279305,-1.155071,0.048364
14.300000,25.481277,-1.117028,0.044868
14.400000,25.683420,-1.071136,0.040928
14.500000,25.885719,-1.017768,0.036658
14.600000,26.088158,-0.957346,0.032179
14.700000,26.290717,-0.890333,0.027614
14.800000,26.493379,-0.817231,0.023085
14.900000,26.696128,-0.738578,0.018710
15.000000,26.898945,-0.654940,0.014600
15.100000,27.101816,-0.566913,0.010856
15.200000,27.304727,-0.475112,0.007568
15.300000,27.507665,-0.380169,0.004809
15.400000,27.710621,-0.282729,0.002640
15.500000,27.913586,-0.183446,0.001103
15.600000,28.116555,-0.082974,0.000224
15.700000,28.319526,0.018032,0.000011
15.800000,28.522496,0.118923,0.000454
15.900000,28.725469,0.219063,0.001529
16.000000,28.928446,0.317826,0.003196
16.100000,29.131435,0.414606,0.005401
16.200000,29.334442,0.508820,0.008079
16.300000,29.537477,0.599908,0.011154
16.400000,29.740548,0.687338,0.014543
16.500000,29.943668,0.770609,0.018158
16.600000,30.146848,0.849251,0.021906
16.700000,30.350098,0.922831,0.025695
16.800000,30.553432,0.990950,0.029434
16.900000,30.756861,1.053250,0.033034
17.000000,30.960394,1.109410,0.036412
17.100000,31.164043,1.159148,0.039492
17.200000,31.367816,1.202224,0.042208
17.300000,31.571720,1.238439,0.044502
17.400000,31.775762,1.267635,0.046327
17.500000,31.979946,1.289694,0.047648
17.600000,32.184276,1.304540,0.048443
17.700000,32.388753,1.312137,0.048699
17.800000,32.593376,1.312488,0.048419
17.900000,32.798145,1.305636,0.047614
18.000000,33.003056,1.291661,0.046310
18.100000,33.208104,1.270683,0.044539
18.200000,33.413282,1.242854,0.042346
18.300000,33.618585,1.208364,0.039782
18.400000,33.824004,1.167432,0.036904
18.500000,34.029529,1.120312,0.033778
18.600000,34.235152,1.067285,0.030470
18.700000,34.440862,1.008663,0.027050
18.800000,34.646650,0.944781,0.023590
18.900000,34.852504,0.875998,0.020159
19.000000,35.058415,0.802695,0.016826
19.100000,35.264373,0.725273,0.013656
19.200000,35.470369,0.644148,0.010708
19.300000,35.676395,0.559753,0.008039
19.400000,35.882444,0.472532,0.005696
19.500000,36.088508,0.382936,0.003719
19.600000,36.294582,0.291428,0.002142
19.700000,36.500663,0.198471,0.000988
19.800000,36.706746,0.104534,0.000272
19.900000,36.912830,0.010083,0.000003
20.000000,37.118914,-0.084418,0.000176
20.100000,37.324998,-0.178509,0.000781
20.200000,37.531085,-0.271739,0.001801
20.300000,37.737176,-0.363664,0.003208
20.400000,37.943276,-0.453853,0.004969
20.500000,38.149389,-0.541889,0.007046
20.600000,38.355521,-0.627367,0.009393
20.700000,38.561676,-0.709902,0.011964
20.800000,38.767862,-0.789126,0.014705
20.900000,38.974085,-0.864691,0.017563
21.000000,39.180352,-0.936268,0.020484
21.100000,39.386671,-1.003553,0.023412
21.200000,39.593048,-1.066263,0.026293
21.300000,39.799490,-1.124140,0.029074
21.400000,40.006004,-1.176951,0.031707
21.500000,40.212595,-1.224485,0.034144
21.600000,40.419269,-1.266561,0.036346
21.700000,40.626032,-1.303022,0.038274
21.800000,40.832886,-1.333736,0.039897
21.900000,41.039837,-1.358600,0.041190
22.000000,41.246885,-1.377534,0.042134
22.100000,41.454033,-1.390488,0.042716
22.200000,41.661282,-1.397436,0.042929
22.300000,41.868632,-1.398377,0.042774
22.400000,42.076082,-1.393337,0.042257
22.500000,42.283630,-1.382366,0.041389
22.600000,42.491274,-1.365539,0.040189
22.700000,42.699010,-1.342954,0.038681
22.800000,42.906835,-1.314733,0.036891
22.900000,43.114744,-1.281019,0.034854
23.000000,43.322732,-1.241978,0.032603
23.100000,43.530794,-1.197794,0.030179
23.200000,43.738924,-1.148674,0.027621
23.300000,43.947116,-1.094839,0.024973
23.400000,44.155364,-1.036531,0.022277
23.500000,44.363661,-0.974006,0.019577
23.600000,44.572002,-0.907536,0.016916
23.700000,44.780379,-0.837407,0.014335
23.800000,44.988789,-0.763914,0.011874
23.900000,45.197224,-0.687367,0.009569
24.000000,45.405680,-0.608084,0.007454
24.100000,45.614153,-0.526391,0.005560
24.200000,45.822637,-0.442621,0.003913
24.300000,46.031130,-0.357111,0.002536
24.400000,46.239628,-0.270204,0.001445
24.500000,46.448129,-0.182244,0.000654
24.600000,46.656632,-0.093578,0.000172
24.700000,46.865136,-0.004551,0.000000
24.800000,47.073639,0.084495,0.000139
24.900000,47.282143,0.173217,0.000581
25.000000,47.490648,0.261280,0.001316
25.100000,47.699155,0.348353,0.002329
25.200000,47.907668,0.434112,0.003600
25.300000,48.116188,0.518240,0.005109
25.400000,48.324718,0.600430,0.006829
25.500000,48.533263,0.680386,0.008731
25.600000,48.741825,0.757820,0.010785
25.700000,48.950409,0.832460,0.012959
25.800000,49.159019,0.904043,0.015219
25.900000,49.367659,0.972322,0.017531
26.000000,49.576334,1.037063,0.019860
26.100000,49.785048,1.098048,0.022172
26.200000,49.993806,1.155074,0.024433
26.300000,50.202612,1.207953,0.026611
26.400000,50.411470,1.256514,0.028675
26.500000,50.620384,1.300605,0.030596
26.600000,50.829357,1.340087,0.032349
26.700000,51.038392,1.374843,0.033910
26.800000,51.247493,1.404768,0.035259
26.900000,51.456660,1.429780,0.036377
27.000000,51.665897,1.449812,0.037253
27.100000,51.875205,1.464815,0.037874
27.200000,52.084584,1.474758,0.038236
27.300000,52.294034,1.479626,0.038335
27.400000,52.503557,1.479423,0.038171
27.500000,52.713150,1.474171,0.037750
27.600000,52.922814,1.463907,0.037078
27.700000,53.132547,1.448684,0.036167
27.800000,53.342346,1.428574,0.035031
27.900000,53.552209,1.403661,0.033687
28.000000,53.762134,1.374049,0.032154
28.100000,53.972117,1.339853,0.030454
28.200000,54.182156,1.301203,0.028610
28.300000,54.392247,1.258244,0.026648
28.400000,54.602385,1.211134,0.024594
28.500000,54.812568,1.160042,0.022476
28.600000,55.022791,1.105149,0.020321
28.700000,55.233050,1.046650,0.018157
28.800000,55.443342,0.984746,0.016011
28.900000,55.653662,0.919651,0.013911
29.000000,55.864006,0.851587,0.011883
29.100000,56.074371,0.780782,0.009951
29.200000,56.284754,0.707473,0.008140
29.300000,56.495151,0.631905,0.006469
29.400000,56.705560,0.554324,0.004960
29.500000,56.915977,0.474985,0.003628
29.600000,57.126400,0.394145,0.002489
29.700000,57.336827,0.312063,0.001555
29.800000,57.547258,0.229002,0.000834
29.900000,57.757689,0.145225,0.000334
30.000000,57.968122,0.060995,0.000059
30.100000,58.178554,-0.023425,0.000009
30.200000,58.388987,-0.107772,0.000182
30.300000,58.599419,-0.191787,0.000574
30.400000,58.809853,-0.275214,0.001179
30.500000,59.020289,-0.357798,0.001985
30.600000,59.230728,-0.439293,0.002982
30.700000,59.441172,-0.519454,0.004155
30.800000,59.651623,-0.598043,0.005488
30.900000,59.862083,-0.674829,0.006963
31.000000,60.072555,-0.749590,0.008561
31.100000,60.283040,-0.822107,0.010262
31.200000,60.493543,-0.892174,0.012044
31.300000,60.704064,-0.959591,0.013885
31.400000,60.914609,-1.024168,0.015763
31.500000,61.125178,-1.085725,0.017654
31.600000,61.335776,-1.144093,0.019536
31.700000,61.546406,-1.199112,0.021387
31.800000,61.757069,-1.250633,0.023185
31.900000,61.967769,-1.298520,0.024910
32.000000,62.178508,-1.342647,0.026542
32.100000,62.389290,-1.382900,0.028063
32.200000,62.600115,-1.419176,0.029455
32.300000,62.810987,-1.451386,0.030705
32.400000,63.021906,-1.479451,0.031797
32.500000,63.232875,-1.503306,0.032721
32.600000,63.443895,-1.522899,0.033468
32.700000,63.654966,-1.538187,0.034031
32.800000,63.866089,-1.549142,0.034403
32.900000,64.077266,-1.555748,0.034583
33.000000,64.288495,-1.558001,0.034569
33.100000,64.499777,-1.555908,0.034363
33.200000,64.711110,-1.549491,0.033969
33.300000,64.922496,-1.538779,0.033392
33.400000,65.133932,-1.523817,0.032639
33.500000,65.345417,-1.504660,0.031720
33.600000,65.556949,-1.481372,0.030646
33.700000,65.768527,-1.454031,0.029430
33.800000,65.980149,-1.422724,0.028086
33.900000,66.191813,-1.387548,0.026628
34.000000,66.403516,-1.348610,0.025074
34.100000,66.615256,-1.306028,0.023440
34.200000,66.827031,-1.259926,0.021745
34.300000,67.038838,-1.210439,0.020007
34.400000,67.250674,-1.157710,0.018244
34.500000,67.462536,-1.101889,0.016475
34.600000,67.674423,-1.043135,0.014718
34.700000,67.886331,-0.981612,0.012992
34.800000,68.098258,-0.917491,0.011315
34.900000,68.310201,-0.850949,0.009703
35.000000,68.522157,-0.782168,0.008172
35.100000,68.734126,-0.711335,0.006738
35.200000,68.946105,-0.638642,0.005415
35.300000,69.158091,-0.564283,0.004214
35.400000,69.370083,-0.488458,0.003148
35.500000,69.582079,-0.411366,0.002226
35.600000,69.794079,-0.333211,0.001456
35.700000,70.006081,-0.254198,0.000845
35.800000,70.218084,-0.174531,0.000397
35.900000,70.430087,-0.094417,0.000116
36.000000,70.642091,-0.014062,0.000003
36.100000,70.854095,0.066329,0.000057
36.200000,71.066099,0.146551,0.000277
36.300000,71.278103,0.226403,0.000658
36.400000,71.490108,0.305684,0.001196
36.500000,71.702115,0.384196,0.001884
36.600000,71.914124,0.461745,0.002714
36.700000,72.126137,0.538139,0.003675
36.800000,72.338156,0.613192,0.004758
36.900000,72.550180,0.686722,0.005950
37.000000,72.762213,0.758551,0.007238
37.100000,72.974256,0.828506,0.008610
37.200000,73.186310,0.896421,0.010050
37.300000,73.398377,0.962136,0.011544
37.400000,73.610460,1.025496,0.013077
37.500000,73.822561,1.086353,0.014633
37.600000,74.034681,1.144568,0.016197
37.700000,74.246822,1.200007,0.017754
37.800000,74.458987,1.252544,0.019288
37.900000,74.671177,1.302061,0.020784
38.000000,74.883394,1.348448,0.022228
38.100000,75.095641,1.391603,0.023607
38.200000,75.307919,1.431433,0.024908
38.300000,75.520228,1.467851,0.026118
38.400000,75.732572,1.500782,0.027226
38.500000,75.944951,1.530158,0.028224
38.600000,76.157367,1.555919,0.029101
38.700000,76.369819,1.578016,0.029850
38.800000,76.582311,1.596405,0.030465
38.900000,76.794841,1.611056,0.030941
39.000000,77.007410,1.621944,0.031274
39.100000,77.220020,1.629054,0.031462
39.200000,77.432669,1.632380,0.031504
39.300000,77.645358,1.631925,0.031400
39.400000,77.858087,1.627700,0.031153
39.500000,78.070855,1.619725,0.030764
39.600000,78.283661,1.608028,0.030239
39.700000,78.496506,1.592647,0.029582
39.800000,78.709387,1.573626,0.028802
39.900000,78.922304,1.551018,0.027904
40.000000,79.135256,1.524884,0.026899
40.100000,79.348241,1.495292,0.025795
40.200000,79.561258,1.462319,0.024604
40.300000,79.774306,1.426046,0.023336
40.400000,79.987382,1.386566,0.022003
40.500000,80.200485,1.343974,0.020616
40.600000,80.413613,1.298373,0.019190
40.700000,80.626765,1.249873,0.017736
40.800000,80.839938,1.198590,0.016267
40.900000,81.053131,1.144644,0.014796
41.000000,81.266342,1.088162,0.013337
41.100000,81.479569,1.029274,0.011901
41.200000,81.692810,0.968117,0.010501
41.300000,81.906064,0.904831,0.009149
41.400000,82.119329,0.839561,0.007856
41.500000,82.332604,0.772453,0.006633
41.600000,82.545886,0.703659,0.005490
41.700000,82.759175,0.633333,0.004436
41.800000,82.972469,0.561631,0.003479
41.900000,83.185767,0.488713,0.002628
42.000000,83.399068,0.414739,0.001888
42.100000,83.612372,0.339870,0.001264
42.200000,83.825677,0.264271,0.000763
42.300000,84.038983,0.188105,0.000385
42.400000,84.252289,0.111537,0.000135
42.500000,84.465596,0.034730,0.000013
42.600000,84.678902,-0.042150,0.000019
42.700000,84.892209,-0.118941,0.000153
42.800000,85.105516,-0.195480,0.000411
42.900000,85.318823,-0.271607,0.000791
43.000000,85.532131,-0.347161,0.001290
43.100000,85.745441,-0.421986,0.001901
43.200000,85.958753,-0.495926,0.002619
43.300000,86.172068,-0.568829,0.003437
43.400000,86.385387,-0.640546,0.004347
43.500000,86.598711,-0.710931,0.005342
43.600000,86.812041,-0.779840,0.006412
43.700000,87.025378,-0.847136,0.007548
43.800000,87.238723,-0.912682,0.008740
43.900000,87.452079,-0.976350,0.009977
44.000000,87.665445,-1.038011,0.011250
44.100000,87.878825,-1.097547,0.012547
44.200000,88.092218,-1.154839,0.013858
44.300000,88.305627,-1.209777,0.015171
44.400000,88.519052,-1.262255,0.016476
44.500000,88.732496,-1.312172,0.017762
44.600000,88.945960,-1.359435,0.019019
44.700000,89.159444,-1.403954,0.020237
44.800000,89.372951,-1.445647,0.021405
44.900000,89.586481,-1.484436,0.022516
45.000000,89.800036,-1.520252,0.023559
45.100000,90.013616,-1.553029,0.024528
45.200000,90.227223,-1.582710,0.025414
45.300000,90.440858,-1.609244,0.026212
45.400000,90.654522,-1.632585,0.026914
45.500000,90.868214,-1.652694,0.027517
45.600000,91.081936,-1.669540,0.028015
45.700000,91.295688,-1.683098,0.028405
45.800000,91.509471,-1.693348,0.028685
45.900000,91.723284,-1.700278,0.028853
46.000000,91.937128,-1.703883,0.028908
46.100000,92.151003,-1.704162,0.028850
46.200000,92.364909,-1.701124,0.028681
46.300000,92.578845,-1.694781,0.028401
46.400000,92.792811,-1.685154,0.028015
46.500000,93.006807,-1.672268,0.027524
46.600000,93.220832,-1.656157,0.026934
46.700000,93.434885,-1.636857,0.026250
46.800000,93.648966,-1.614414,0.025476
46.900000,93.863073,-1.588877,0.024620
47.000000,94.077206,-1.560302,0.023689
47.100000,94.291364,-1.528751,0.022688
47.200000,94.505545,-1.494290,0.021628
47.300000,94.719749,-1.456990,0.020515
47.400000,94.933974,-1.416929,0.019358
47.500000,95.148219,-1.374188,0.018167
47.600000,95.362483,-1.328855,0.016950
47.700000,95.576764,-1.281019,0.015716
47.800000,95.791061,-1.230777,0.014475
47.900000,96.005373,-1.178227,0.013235
48.000000,96.219699,-1.123473,0.012007
48.100000,96.434037,-1.066622,0.010798
48.200000,96.648385,-1.007784,0.009618
48.300000,96.862744,-0.947073,0.008476
48.400000,97.077111,-0.884606,0.007378
48.500000,97.291486,-0.820501,0.006333
48.600000,97.505867,-0.754881,0.005349
48.700000,97.720254,-0.687870,0.004432
48.800000,97.934645,-0.619594,0.003588
48.900000,98.149039,-0.550182,0.002823
49.000000,98.363437,-0.479761,0.002142
49.100000,98.577836,-0.408464,0.001549
49.200000,98.792237,-0.336423,0.001049
49.300000,99.006639,-0.263769,0.000643
49.400000,99.221042,-0.190637,0.000335
49.500000,99.435445,-0.117159,0.000126
49.600000,99.649849,-0.043470,0.000017
49.700000,99.864252,0.030299,0.000008
49.800000,100.078655,0.104012,0.000099
49.900000,100.293059,0.177539,0.000288
50.000000,100.507462,0.250748,0.000573
