t,phi,z,omega,vz,E,E_anal
0.000000,1.100000,1.000000,0.000000,0.000000,2.569827,2.569827
0.010000,1.099298,0.999901,-0.140450,-0.019769,2.569827,2.569827
0.020000,1.097191,0.999605,-0.280938,-0.039402,2.569827,2.569827
0.030000,1.093679,0.999114,-0.421500,-0.058763,2.569827,2.569827
0.040000,1.088761,0.998431,-0.562166,-0.077716,2.569827,2.569827
0.050000,1.082435,0.997561,-0.702958,-0.096127,2.569827,2.569827
0.060000,1.074701,0.996511,-0.843891,-0.113860,2.569827,2.569827
0.070000,1.065557,0.995287,-0.984965,-0.130780,2.569827,2.569827
0.080000,1.055001,0.993898,-1.126164,-0.146756,2.569827,2.569827
0.090000,1.043033,0.992355,-1.267458,-0.161654,2.569827,2.569827
0.100000,1.029652,0.990669,-1.408792,-0.175345,2.569827,2.569827
0.110000,1.014857,0.988853,-1.550091,-0.187700,2.569827,2.569827
0.120000,0.998651,0.986920,-1.691253,-0.198593,2.569827,2.569827
0.130000,0.981033,0.984886,-1.832149,-0.207902,2.569827,2.569827
0.140000,0.962009,0.982768,-1.972618,-0.215509,2.569827,2.569827
0.150000,0.941583,0.980582,-2.112468,-0.221301,2.569827,2.569827
0.160000,0.919762,0.978348,-2.251469,-0.225168,2.569827,2.569827
0.170000,0.896557,0.976086,-2.389359,-0.227012,2.569827,2.569827
0.180000,0.871980,0.973815,-2.525833,-0.226739,2.569827,2.569827
0.190000,0.846046,0.971558,-2.660551,-0.224265,2.569827,2.569827
0.200000,0.818776,0.969337,-2.793135,-0.219519,2.569827,2.569827
0.210000,0.790192,0.967176,-2.923165,-0.212439,2.569827,2.569827
0.220000,0.760323,0.965097,-3.050189,-0.202979,2.569827,2.569827
0.230000,0.729200,0.963124,-3.173719,-0.191105,2.569827,2.569827
0.240000,0.696862,0.961283,-3.293235,-0.176802,2.569827,2.569827
0.250000,0.663351,0.959596,-3.408194,-0.160072,2.569827,2.569827
0.260000,0.628715,0.958089,-3.518030,-0.140935,2.569827,2.569827
0.270000,0.593009,0.956785,-3.622165,-0.119431,2.569827,2.569827
0.280000,0.556293,0.955708,-3.720015,-0.095621,2.569827,2.569827
0.290000,0.518632,0.954880,-3.811000,-0.069587,2.569827,2.569827
0.300000,0.480097,0.954324,-3.894551,-0.041433,2.569827,2.569827
0.310000,0.440767,0.954058,-3.970123,-0.011282,2.569827,2.569827
0.320000,0.400723,0.954104,-4.037205,0.020720,2.569827,2.569827
0.330000,0.360053,0.954478,-4.095328,0.054408,2.569827,2.569827
0.340000,0.318848,0.955197,-4.144079,0.089600,2.569827,2.569827
0.350000,0.277204,0.956275,-4.183107,0.126097,2.569827,2.569827
0.360000,0.235219,0.957723,-4.212132,0.163684,2.569827,2.569827
0.370000,0.192995,0.959551,-4.230954,0.202137,2.569827,2.569827
0.380000,0.150634,0.961768,-4.239455,0.241222,2.569827,2.569827
0.390000,0.108241,0.964377,-4.237604,0.280699,2.569827,2.569827
0.400000,0.065917,0.967382,-4.225457,0.320325,2.569827,2.569827
0.410000,0.023765,0.970783,-4.203160,0.359861,2.569827,2.569827
0.420000,-0.018113,0.974578,-4.170939,0.399067,2.569827,2.569827
0.430000,-0.059621,0.978763,-4.129101,0.437713,2.569827,2.569827
0.440000,-0.100665,0.983330,-4.078026,0.475578,2.569827,2.569827
0.450000,-0.141153,0.988271,-4.018156,0.512453,2.569827,2.569827
0.460000,-0.181000,0.993575,-3.949991,0.548146,2.569827,2.569827
0.470000,-0.220127,0.999229,-3.874074,0.582477,2.569827,2.569827
0.480000,-0.258458,1.005219,-3.790984,0.615288,2.569827,2.569827
0.490000,-0.295924,1.011530,-3.701323,0.646438,2.569827,2.569827
0.500000,-0.332464,1.018142,-3.605710,0.675806,2.569827,2.569827
0.510000,-0.368021,1.025039,-3.504765,0.703291,2.569827,2.569827
0.520000,-0.402544,1.032202,-3.399107,0.728811,2.569827,2.569827
0.530000,-0.435989,1.039609,-3.289342,0.752306,2.569827,2.569827
0.540000,-0.468319,1.047241,-3.176056,0.773732,2.569827,2.569827
0.550000,-0.499501,1.055076,-3.059813,0.793062,2.569827,2.569827
0.560000,-0.529507,1.063095,-2.941146,0.810290,2.569827,2.569827
0.570000,-0.558317,1.071275,-2.820555,0.825421,2.569827,2.569827
0.580000,-0.585913,1.079596,-2.698506,0.838476,2.569827,2.569827
0.590000,-0.612284,1.088038,-2.575428,0.849491,2.569827,2.569827
0.600000,-0.637420,1.096580,-2.451713,0.858509,2.569827,2.569827
0.610000,-0.661317,1.105202,-2.327714,0.865586,2.569827,2.569827
0.620000,-0.683974,1.113885,-2.203748,0.870787,2.569827,2.569827
0.630000,-0.705393,1.122611,-2.080098,0.874184,2.569827,2.569827
0.640000,-0.725578,1.131363,-1.957012,0.875855,2.569827,2.569827
0.650000,-0.744536,1.140123,-1.834706,0.875884,2.569827,2.569827
0.660000,-0.762275,1.148876,-1.713365,0.874359,2.569827,2.569827
0.670000,-0.778807,1.157605,-1.593149,0.871372,2.569827,2.569827
0.680000,-0.794143,1.166298,-1.474189,0.867016,2.569827,2.569827
0.690000,-0.808295,1.174941,-1.356596,0.861388,2.569827,2.569827
0.700000,-0.821279,1.183522,-1.240459,0.854584,2.569827,2.569827
0.710000,-0.833110,1.192030,-1.125850,0.846704,2.569827,2.569827
0.720000,-0.843802,1.200453,-1.012822,0.837843,2.569827,2.569827
0.730000,-0.853371,1.208783,-0.901416,0.828102,2.569827,2.569827
0.740000,-0.861835,1.217012,-0.791661,0.817575,2.569827,2.569827
0.750000,-0.869210,1.225133,-0.683575,0.806360,2.569827,2.569827
0.760000,-0.875513,1.233138,-0.577167,0.794552,2.569827,2.569827
0.770000,-0.880759,1.241022,-0.472440,0.782244,2.569827,2.569827
0.780000,-0.884967,1.248781,-0.369390,0.769528,2.569827,2.569827
0.790000,-0.888153,1.256412,-0.268011,0.756493,2.569827,2.569827
0.800000,-0.890333,1.263910,-0.168292,0.743229,2.569827,2.569827
0.810000,-0.891524,1.271276,-0.070220,0.729821,2.569827,2.569827
0.820000,-0.891743,1.278507,0.026216,0.716353,2.569827,2.569827
0.830000,-0.891005,1.285603,0.121029,0.702907,2.569827,2.569827
0.840000,-0.889327,1.292565,0.214233,0.689563,2.569827,2.569827
0.850000,-0.886726,1.299395,0.305837,0.676397,2.569827,2.569827
0.860000,-0.883216,1.306094,0.395850,0.663483,2.569827,2.569827
0.870000,-0.878814,1.312665,0.484277,0.650895,2.569827,2.569827
0.880000,-0.873536,1.319113,0.571121,0.638702,2.569827,2.569827
0.890000,-0.867397,1.325441,0.656380,0.626969,2.569827,2.569827
0.900000,-0.860413,1.331654,0.740049,0.615762,2.569827,2.569827
0.910000,-0.852601,1.337758,0.822119,0.605141,2.569827,2.569827
0.920000,-0.843976,1.343759,0.902574,0.595163,2.569827,2.569827
0.930000,-0.834555,1.349664,0.981397,0.585886,2.569827,2.569827
0.940000,-0.824354,1.355479,1.058564,0.577359,2.569827,2.569827
0.950000,-0.813389,1.361214,1.134047,0.569632,2.569827,2.569827
0.960000,-0.801679,1.366875,1.207812,0.562749,2.569827,2.569827
0.970000,-0.789239,1.372472,1.279822,0.556753,2.569827,2.569827
0.980000,-0.776088,1.378013,1.350034,0.551680,2.569827,2.569827
0.990000,-0.762245,1.383508,1.418402,0.547565,2.569827,2.569827
1.000000,-0.747727,1.388968,1.484874,0.544439,2.569827,2.569827
1.010000,-0.732554,1.394401,1.549397,0.542326,2.569827,2.569827
1.020000,-0.716745,1.399818,1.611912,0.541250,2.569827,2.569827
1.030000,-0.700322,1.405229,1.672358,0.541226,2.569827,2.569827
1.040000,-0.683305,1.410646,1.730672,0.542269,2.569827,2.569827
1.050000,-0.665716,1.416078,1.786787,0.544387,2.569827,2.569827
1.060000,-0.647577,1.421537,1.840638,0.547584,2.569827,2.569827
1.070000,-0.628911,1.427033,1.892155,0.551860,2.569827,2.569827
1.080000,-0.609742,1.432578,1.941271,0.557208,2.569827,2.569827
1.090000,-0.590094,1.438181,1.987918,0.563619,2.569827,2.569827
1.100000,-0.569992,1.443854,2.032030,0.571078,2.569827,2.569827
1.110000,-0.549462,1.449606,2.073542,0.579565,2.569827,2.569827
1.120000,-0.528530,1.455448,2.112393,0.589057,2.569827,2.569827
1.130000,-0.507223,1.461390,2.148524,0.599525,2.569827,2.569827
1.140000,-0.485569,1.467442,2.181880,0.610936,2.569827,2.569827
1.150000,-0.463595,1.473612,2.212413,0.623252,2.569827,2.569827
1.160000,-0.441330,1.479910,2.240078,0.636433,2.569827,2.569827
1.170000,-0.418803,1.486343,2.264836,0.650433,2.569827,2.569827
1.180000,-0.396043,1.492921,2.286657,0.665204,2.569827,2.569827
1.190000,-0.373080,1.499650,2.305516,0.680693,2.569827,2.569827
1.200000,-0.349943,1.506537,2.321397,0.696845,2.569827,2.569827
1.210000,-0.326662,1.513589,2.334289,0.713603,2.569827,2.569827
1.220000,-0.303267,1.520811,2.344194,0.730907,2.569827,2.569827
1.230000,-0.279788,1.528209,2.351119,0.748695,2.569827,2.569827
1.240000,-0.256254,1.535786,2.355081,0.766902,2.569827,2.569827
1.250000,-0.232696,1.543548,2.356103,0.785465,2.569827,2.569827
1.260000,-0.209142,1.551497,2.354222,0.804317,2.569827,2.569827
1.270000,-0.185621,1.559635,2.349477,0.823393,2.569827,2.569827
1.280000,-0.162162,1.567965,2.341920,0.842627,2.569827,2.569827
1.290000,-0.138792,1.576488,2.331609,0.861954,2.569827,2.569827
1.300000,-0.115539,1.585204,2.318609,0.881307,2.569827,2.569827
