t,phi,z,omega,vz,E,E_anal
0.770000,3.193087,7.853316,0.067936,-5.574580,94.039612,94.039612
0.780000,3.193776,7.797209,0.069968,-5.646889,94.039612,94.039612
0.790000,3.194486,7.740378,0.072072,-5.719192,94.039612,94.039612
0.800000,3.195218,7.682825,0.074252,-5.791488,94.039612,94.039612
0.810000,3.195972,7.624548,0.076511,-5.863778,94.039612,94.039612
0.820000,3.196748,7.565549,0.078854,-5.936062,94.039612,94.039612
0.830000,3.197549,7.505827,0.081284,-6.008338,94.039612,94.039612
0.840000,3.198374,7.445383,0.083806,-6.080606,94.039612,94.039612
0.850000,3.199225,7.384215,0.086426,-6.152866,94.039612,94.039612
0.860000,3.200103,7.322325,0.089147,-6.225118,94.039612,94.039612
0.870000,3.201009,7.259713,0.091976,-6.297361,94.039612,94.039612
0.880000,3.201943,7.196378,0.094919,-6.369594,94.039612,94.039612
0.890000,3.202908,7.132321,0.097980,-6.441816,94.039612,94.039612
0.900000,3.203903,7.067542,0.101168,-6.514028,94.039612,94.039612
0.910000,3.204931,7.002040,0.104490,-6.586229,94.039612,94.039612
0.920000,3.205993,6.935817,0.107952,-6.658417,94.039612,94.039612
0.930000,3.207091,6.868872,0.111562,-6.730593,94.039612,94.039612
0.940000,3.208225,6.801205,0.115330,-6.802755,94.039612,94.039612
0.950000,3.209398,6.732817,0.119265,-6.874902,94.039612,94.039612
0.960000,3.210611,6.663707,0.123377,-6.947034,94.039612,94.039612
0.970000,3.211866,6.593877,0.127676,-7.019149,94.039612,94.039612
0.980000,3.213165,6.523325,0.132173,-7.091246,94.039612,94.039612
0.990000,3.214510,6.452052,0.136882,-7.163325,94.039612,94.039612
1.000000,3.215904,6.380058,0.141816,-7.235383,94.039612,94.039612
1.010000,3.217347,6.307344,0.146988,-7.307420,94.039612,94.039612
1.020000,3.218844,6.233910,0.152415,-7.379435,94.039612,94.039612
1.030000,3.220397,6.159755,0.158113,-7.451424,94.039612,94.039612
1.040000,3.222007,6.084881,0.164100,-7.523387,94.039612,94.039612
1.050000,3.223680,6.009288,0.170396,-7.595322,94.039612,94.039612
1.060000,3.225416,5.932975,0.177022,-7.667226,94.039612,94.039612
1.070000,3.227221,5.855943,0.184002,-7.739098,94.039612,94.039612
1.080000,3.229098,5.778193,0.191361,-7.810934,94.039612,94.039612
1.090000,3.231050,5.699725,0.199126,-7.882733,94.039612,94.039612
1.100000,3.233082,5.620539,0.207327,-7.954491,94.039612,94.039612
1.110000,3.235198,5.540635,0.215997,-8.026204,94.039612,94.039612
1.120000,3.237403,5.460015,0.225173,-8.097870,94.039612,94.039612
1.130000,3.239703,5.378678,0.234892,-8.169484,94.039612,94.039612
1.140000,3.242103,5.296625,0.245198,-8.241042,94.039612,94.039612
1.150000,3.244609,5.213857,0.256139,-8.312539,94.039612,94.039612
1.160000,3.247228,5.130375,0.267767,-8.383969,94.039612,94.039612
1.170000,3.249967,5.046178,0.280140,-8.455328,94.039612,94.039612
1.180000,3.252834,4.961268,0.293321,-8.526607,94.039612,94.039612
1.190000,3.255837,4.875646,0.307382,-8.597801,94.039612,94.039612
1.200000,3.258985,4.789313,0.322400,-8.668900,94.039612,94.039612
1.210000,3.262288,4.702269,0.338463,-8.739897,94.039612,94.039612
1.220000,3.265758,4.614515,0.355668,-8.810779,94.039612,94.039612
1.230000,3.269406,4.526053,0.374124,-8.881537,94.039612,94.039612
1.240000,3.273245,4.436885,0.393953,-8.952158,94.039612,94.039612
1.250000,3.277290,4.347011,0.415292,-9.022626,94.039612,94.039612
1.260000,3.281556,4.256433,0.438295,-9.092925,94.039612,94.039612
1.270000,3.286062,4.165153,0.463136,-9.163038,94.039612,94.039612
1.280000,3.290826,4.073173,0.490013,-9.232942,94.039612,94.039612
1.290000,3.295869,3.980495,0.519150,-9.302614,94.039612,94.039612
1.300000,3.301217,3.887121,0.550803,-9.372026,94.039612,94.039612
1.310000,3.306895,3.793055,0.585263,-9.441147,94.039612,94.039612
1.320000,3.312933,3.698300,0.622865,-9.509939,94.039612,94.039612
1.330000,3.319364,3.602858,0.663998,-9.578361,94.039612,94.039612
1.340000,3.326226,3.506734,0.709106,-9.646363,94.039612,94.039612
1.350000,3.333561,3.409932,0.758709,-9.713889,94.039612,94.039612
1.360000,3.341417,3.312458,0.813412,-9.780871,94.039612,94.039612
1.370000,3.349849,3.214317,0.873923,-9.847230,94.039612,94.039612
1.380000,3.358918,3.115516,0.941079,-9.912873,94.039612,94.039612
1.390000,3.368696,3.016062,1.015866,-9.977687,94.039612,94.039612
1.400000,3.379264,2.915965,1.099462,-10.041542,94.039612,94.039612
1.410000,3.390719,2.815235,1.193274,-10.104275,94.039612,94.039612
1.420000,3.403169,2.713884,1.298998,-10.165692,94.039612,94.039612
1.430000,3.416745,2.611926,1.418693,-10.225558,94.039612,94.039612
